prompt_id,domain,n_draft,acceptance_rate,tokens_per_sec,latency
p28,writing_prompts,8,0.55,7.9816,1.8793
p29,writing_prompts,0,0.0,4.0742,3.6817
p29,writing_prompts,2,0.5333,5.4552,2.7497
p29,writing_prompts,4,0.55,6.8702,2.1833
p29,writing_prompts,8,0.3438,5.5321,2.7115
p30,writing_prompts,0,0.0,4.1273,3.6343
p30,writing_prompts,2,0.6923,6.4171,2.3375
p30,writing_prompts,4,0.4167,5.697,2.633
p30,writing_prompts,8,0.3548,5.5516,2.7019
p31,writing_prompts,0,0.0,4.3836,3.4218
p31,writing_prompts,2,0.6923,6.8354,2.1945
p31,writing_prompts,4,0.6111,7.9417,1.8888
p31,writing_prompts,8,0.3871,6.8415,2.1925
p32,writing_prompts,0,0.0,4.1851,3.5841
p32,writing_prompts,2,0.6923,6.5665,2.2843
p32,writing_prompts,4,0.6875,9.0199,1.663
p32,writing_prompts,8,0.48,7.223,2.0767
p33,writing_prompts,0,0.0,4.246,3.5327
p33,writing_prompts,2,0.8333,7.7009,1.9478
p33,writing_prompts,4,0.9231,9.9488,1.5077
p33,writing_prompts,8,0.7222,9.9791,1.5031
p34,writing_prompts,0,0.0,4.5047,3.3299
p34,writing_prompts,2,0.9091,8.3219,1.8025
p34,writing_prompts,4,0.7333,8.818,1.7011
p34,writing_prompts,8,0.6,8.6851,1.7271
p35,writing_prompts,0,0.0,4.1608,3.6051
p35,writing_prompts,2,0.4375,5.9743,2.5108
p35,writing_prompts,4,0.3913,6.1973,2.4204
p35,writing_prompts,8,0.2368,4.878,3.075
p36,writing_prompts,0,0.0,4.15,3.6145
p36,writing_prompts,2,0.5,5.7843,2.5932
p36,writing_prompts,4,0.375,5.9775,2.5094
p36,writing_prompts,8,0.2273,4.3375,3.4582
p37,writing_prompts,0,0.0,4.3519,3.4467
p37,writing_prompts,2,0.5333,5.8971,2.5436
p37,writing_prompts,4,0.4167,6.153,2.4379
p37,writing_prompts,8,0.2564,4.9043,3.0585
p38,writing_prompts,0,0.0,4.0017,3.7484
p38,writing_prompts,2,0.9091,7.3235,2.0482
p38,writing_prompts,4,0.8571,8.4856,1.7677
p38,writing_prompts,8,0.9333,12.1606,1.2335
p39,writing_prompts,0,0.0,4.3319,3.4627
p39,writing_prompts,2,0.4667,5.8701,2.5553
p39,writing_prompts,4,0.3478,5.5543,2.7006
p39,writing_prompts,8,0.2,4.292,3.4949
p40,writing_prompts,0,0.0,4.2317,3.5447
p40,writing_prompts,2,0.8333,7.5735,1.9806
p40,writing_prompts,4,0.9231,9.2026,1.63
p40,writing_prompts,8,0.7222,9.9548,1.5068
